Episode,Total_Reward,Success,Conc_Reward,Explore_Reward,Move_Penalty,TKE_Penalty,Boundary_Penalty,Steps,Final_Conc,Current_Radius
1,-63.79304823861156,0,52.591373717121314,29.172511215913136,-28.949999999999903,-116.57229135748926,-0.03464181415679547,1000,0.0,50.0
2,142.20972802173614,1,10.140537515282631,10.678394128285241,-6.150000000000004,-22.454496506229063,-0.004707115602687831,209,1.5736443948228622,50.0
3,134.48720277007453,1,21.78275182150537,23.1492027942913,-12.150000000000018,-48.27557509704491,-0.01917674867723066,437,5.315727121234133,50.0
4,137.95836755195617,1,13.109297430492006,12.926251236772526,-9.450000000000012,-28.613554002717137,-0.013627112591202835,285,11.560551353051421,50.0
5,145.2565192437438,1,4.069314487511292,1.8523700483141294,-1.6499999999999997,-9.005642060935498,-0.009523231146106181,64,3.9820585431734994,50.0
6,83.38606030252589,1,48.677010573563166,22.668805954512052,-30.149999999999892,-107.75206973531766,-0.05768649023190076,973,4.643892708465849,50.0
7,135.90090844891418,1,15.190440498292446,12.478830956257681,-8.100000000000009,-33.64266185304151,-0.025701152594452284,308,4.271837674986182,50.0
8,113.16041755318321,1,31.731729362043552,17.309154068200346,-16.200000000000024,-69.65983237037442,-0.020633506686321974,614,17.629176205651156,50.0
9,-73.35312232275862,0,52.14121356402757,21.679490432665396,-31.649999999999878,-115.44978072238142,-0.07404559707010021,1000,0.0,50.0
10,104.89352760786565,1,42.98435532307485,29.131953937831994,-22.349999999999966,-94.82989887523004,-0.042882777811167054,838,11.515011673768429,50.0
11,148.57668247855452,1,4.230200042016804,5.95343561811779,-2.2499999999999996,-9.346955255419012,-0.009997926161038452,84,4.37526001362136,50.0
12,119.55436067933469,1,22.058477120066527,9.337368541310338,-12.90000000000002,-48.91642936554271,-0.025055616499413135,428,6.19745635660861,50.0
13,148.21444758136235,1,4.68845163716469,5.9534356181177905,-2.2499999999999996,-10.166582268476484,-0.010857405443659172,90,8.370413093223604,50.0
14,114.12665319782121,1,37.782167673052754,27.975820142525023,-17.85000000000001,-83.73822569577037,-0.043108921986370605,723,2.8477799513848208,50.0
15,144.37851768056842,1,7.919875842955662,7.088673019820808,-3.149999999999999,-17.466164087224758,-0.013867094983311604,151,5.052497638273195,50.0
16,101.4703552433646,1,44.973142924078275,29.112689640365062,-22.94999999999996,-99.63080354621646,-0.03467377486245935,885,4.878089051098849,50.0
17,139.65397952248142,1,14.714508433738956,15.392462997494434,-7.950000000000008,-32.48977224146947,-0.013219667282483262,280,9.072650853084594,50.0
18,139.67804059307755,1,11.0927239182638,8.782554721315837,-5.850000000000003,-24.33058628831058,-0.01665175819151704,215,9.261714233484074,50.0
19,-58.40470563896938,0,50.538599941835855,22.30832439130774,-19.349999999999994,-111.86940463907098,-0.03222533304212682,1000,0.0,50.0
20,150.05425788800878,1,5.634238483617082,9.138808963155244,-2.3999999999999995,-12.3123051552102,-0.006484403553369987,114,5.330822261653838,50.0
21,-62.42383048655039,0,52.67146460292861,27.415454541418228,-25.799999999999933,-116.62965597044652,-0.08109366045043055,1000,0.0,50.0
22,107.14253586297903,1,38.18544999125879,18.714103835999616,-16.65000000000002,-83.08187076877807,-0.025147195501395984,670,41.170048399658654,50.0
23,150.43951046150698,1,3.130784277804196,5.47467087447557,-1.4999999999999998,-6.662720378302037,-0.0032243124707394292,57,6.445311223883173,50.0
24,123.47899927621407,1,23.053303677472286,12.749778576923585,-11.100000000000016,-51.17030700838656,-0.053775969795201335,429,1.1472341448527663,50.0
25,-59.90885256969079,0,52.77150332745805,26.259320746111243,-21.89999999999997,-116.98917652817931,-0.050500115080999386,1000,0.0,50.0
26,141.48155276530062,1,14.235483202442992,13.850407323225154,-5.100000000000001,-31.48052853271366,-0.023809227653873586,287,5.452056481205674,50.0
27,142.47459966038176,1,15.919640154344961,17.536632330210978,-5.700000000000003,-35.281672824174166,0.0,303,5.240491515241992,50.0
28,131.04527804145505,1,28.651271518487192,27.64465410474365,-11.700000000000017,-63.508419281896224,-0.042228299879654804,542,3.568657816581477,50.0
29,133.88329245383738,1,21.032936689443886,15.937180859665476,-6.450000000000005,-46.62495547812432,-0.011869617147657689,391,4.586846248571087,50.0
30,144.00316158766955,1,9.311019664513879,9.627228093186078,-4.35,-20.582328891288487,-0.002757278741912909,182,3.688341044618872,50.0
