Episode,Total_Reward,Success,Conc_Reward,Explore_Reward,Move_Penalty,TKE_Penalty,Boundary_Penalty,Steps,Final_Conc,Success_Rate
1,120.16581274861602,1,30.36309536139015,18.56937248084545,-16.950000000000017,-61.78462108169626,-0.03203401192333819,557,57.23619412797898,1.0
2,126.55179643995021,1,30.29770444132737,22.252025659167536,-16.350000000000023,-59.628168691787856,-0.019764968756844338,561,56.20522880089625,1.0
3,113.69527742454322,1,42.567759421817755,27.247401013388252,-17.250000000000014,-88.83442317355068,-0.035459837112153794,755,61.72096840253715,1.0
4,145.73509407751573,1,21.701637881953502,16.595330343730755,-8.55000000000001,-34.00388083278663,-0.007993315381871214,276,46.67326327960429,1.0
5,118.16890325793297,1,34.445737725822255,21.69121848662589,-15.600000000000026,-72.33992478645524,-0.02812816805996244,596,48.784332432436486,1.0
6,141.26308702170635,1,16.819202801096253,16.727098390354794,-7.050000000000006,-35.23024624972602,-0.002967920018626991,339,30.966257772753846,1.0
7,129.9943255963331,1,21.8764682947658,13.437595698111759,-10.200000000000014,-45.09316128817153,-0.02657710837291311,384,40.11878234663071,1.0
8,149.54174007813535,1,8.241247979458421,7.150965104508157,-3.149999999999999,-12.691922455234456,-0.008550550596792068,110,40.02799599834363,1.0
9,120.62516446663267,1,35.47166492923134,24.5512852113839,-17.70000000000001,-71.65771188383215,-0.04007379015038605,641,64.31068086789054,1.0
10,151.57035856116195,1,5.911120870150626,3.561243996043732,-1.4999999999999998,-6.402006305032408,0.0,52,30.464679430764807,1.0
11,-57.89666259869806,0,52.91064550721785,31.849407450318022,-25.949999999999932,-116.66194731104173,-0.04476824519215336,1000,3.378237564954232,0.9090909090909091
12,-60.72892164406191,0,51.26081559636805,26.884448941044667,-25.04999999999994,-113.78141658972021,-0.042769591754486,1000,7.239287082124235,0.8333333333333334
13,-61.702484788508336,0,52.597037571220426,27.42466735637198,-25.04999999999994,-116.63724641462333,-0.036943301477576254,1000,2.047555436716715,0.7692307692307693
14,149.45052149973267,1,8.9911800166592,6.805203662059608,-2.6999999999999993,-13.643078284151855,-0.0027838948342639603,103,71.23978744205843,0.7857142857142857
15,139.25140650746343,1,16.012853994383477,13.822327052371861,-6.750000000000005,-33.82232243181207,-0.011452107479813397,271,32.6716062828416,0.8
16,144.07845740646022,1,17.319234733469784,13.72952891755938,-6.750000000000005,-30.199090494820858,-0.021215749748096428,241,58.36623595830901,0.8125
17,118.02591440958986,1,44.01652588021534,29.695186889645466,-16.950000000000017,-88.70763553766886,-0.028162822602168174,743,31.27890039426841,0.8235294117647058
18,153.09614069869414,1,5.013533820398152,3.4554825527011133,-1.2,-4.168630952388049,-0.004244722017098263,42,57.89757213814579,0.8333333333333334
19,151.98988458834,1,8.872713617049158,3.321243996937801,-2.0999999999999996,-8.094928342849014,-0.00914468279794095,73,50.43876141263074,0.8421052631578947
20,128.57612757489136,1,23.875057642013417,10.90666607343067,-7.6500000000000075,-48.53501146584748,-0.020584674705234174,387,59.68792367233382,0.85
21,138.54494835703113,1,17.392248996766284,14.25801927892621,-6.900000000000006,-36.20082451130148,-0.004495407359887929,294,34.841054118493965,0.8571428571428571
22,156.19778799029805,1,11.892661771853454,10.126050817430016,-1.9499999999999995,-13.870118870772423,-0.0008057282129884813,109,74.10462424914513,0.8636363636363636
23,148.34581027189017,1,17.0589331468218,17.50691996322064,-5.5500000000000025,-30.664613845013104,-0.005428993139190927,293,32.49456911430625,0.8695652173913043
24,-57.8447611270421,0,52.30988265015185,28.51643539941973,-23.09999999999996,-115.52494921069575,-0.04612996591771014,1000,0.6643706512961067,0.8333333333333334
25,-54.861962380995834,0,58.24611292174086,26.164448943726875,-21.299999999999976,-117.91255154521217,-0.05997270125161021,1000,1.833922995289257,0.8
26,148.12556235662896,1,6.4260921170935035,4.413012039985552,-1.9499999999999995,-10.76043727099896,-0.003104529451121632,98,40.22895699169594,0.8076923076923077
27,125.42175969265705,1,29.545976711960975,16.965863134891077,-9.450000000000012,-61.62137943673876,-0.018700717456219006,531,34.752096175740895,0.8148148148148148
28,138.7457710537031,1,22.99151516368147,19.46011043659881,-6.750000000000005,-46.94669202142398,-0.009162525153260916,393,48.094470594404896,0.8214285714285714
29,102.68127142969473,1,47.04408631950355,23.384703346553515,-17.55000000000001,-100.1449840448913,-0.05253419147112088,854,43.40331013665402,0.8275862068965517
30,151.37947597267822,1,10.137497728690505,9.577368540416272,-2.849999999999999,-15.483050919696684,-0.002339376731865543,158,44.259595955820764,0.8333333333333334
31,151.10551271500017,1,6.319272774038836,7.585025234925466,-1.9499999999999995,-10.845006691664455,-0.003778602299694634,90,34.41530517688341,0.8387096774193549
32,-47.65617271429509,0,54.513315954391146,31.9747853028275,-16.80000000000002,-117.30914495119362,-0.03512902032026302,1000,3.5150171708448754,0.8125
33,-60.66469839347919,0,53.28148737412994,21.387294306695573,-18.000000000000007,-117.28041847938438,-0.05306159492031244,1000,2.5100821832778544,0.7878787878787878
34,141.49515415444887,1,27.427091644669417,23.937046657408732,-7.500000000000007,-52.36116618718947,-0.007817960439804615,463,49.9358511089299,0.7941176470588235
35,-52.46053071573264,0,54.605876447603805,25.9574702337528,-16.65000000000002,-116.32060342343746,-0.053273973651767316,1000,3.1120006071966873,0.7714285714285715
36,152.83627815371443,1,3.4000472594052553,3.289502692243032,-0.3,-3.5524505943059923,-0.000821203627866087,22,45.802858236147216,0.7777777777777778
37,151.466193156337,1,2.244068283587694,1.7791883226685257,-0.3,-2.2570634499192237,0.0,18,31.747405682653085,0.7837837837837838
38,154.60996993179705,1,6.986740851396462,8.410786675585879,-1.05,-9.737557558296249,-3.6889021082669916e-08,86,36.64833011403842,0.7894736842105263
39,152.37918890108025,1,3.9090546052902937,1.6762942300325872,-0.6,-2.604002261161804,-0.0021576730808084152,26,61.65208423926775,0.7948717948717948
40,144.9920237948764,1,14.349245827412233,9.981716303843246,-3.449999999999999,-25.88103153258563,-0.00790680379349148,215,38.82640470936377,0.8
41,142.41965784873767,1,16.06566003651824,13.915963600186583,-4.199999999999999,-33.35077199377119,-0.01119379419593281,268,37.60084853698477,0.8048780487804879
42,141.0278777085423,1,20.583695410663495,19.39063447466214,-5.850000000000003,-43.08514850805508,-0.011303668728196131,378,30.881046296391073,0.8095238095238095
43,146.71031026704358,1,12.114792263648269,10.606844498776674,-2.2499999999999996,-23.761325624887817,-8.704935318200138e-07,216,29.38442561160109,0.813953488372093
44,152.07023522513626,1,4.4679963467642665,3.590956363034066,-0.6,-5.385306912660599,-0.003410572001483288,38,64.75642800146704,0.8181818181818182
45,144.0072544807444,1,14.8780661621131,15.397800857340393,-5.700000000000003,-30.560169919766473,-0.008442618942602896,278,36.51509002941282,0.8222222222222222
46,153.91351360925427,1,11.535276726819575,14.039446450036836,-2.0999999999999996,-19.560225784406054,-0.000983783196076621,168,41.4276343971347,0.8260869565217391
47,150.68028570022497,1,5.187182325636968,4.922724405187747,-1.4999999999999998,-7.9280950702726845,-0.0015259603270722873,65,45.64896206811311,0.8297872340425532
48,-52.55920420420305,0,54.36898334878788,26.16528735672912,-16.65000000000002,-116.4024309722241,-0.041043937496014406,1000,1.4764866942188064,0.8125
49,-50.021380818112064,0,51.539004463353194,22.202166106397726,-11.850000000000017,-111.88442331586273,-0.02812807200031011,1000,2.3845285858738103,0.7959183673469388
50,-44.625091141554584,0,53.62910745915724,33.380970325196444,-13.650000000000022,-117.96121517759742,-0.02395374831080881,1000,3.059341317584096,0.78
51,-52.66236627105023,0,54.4118732973584,25.17681024788472,-12.75000000000002,-119.4529938706123,-0.04805594568096981,1000,1.6383470943262046,0.7647058823529411
52,151.8083496277195,1,3.1958516724407673,0.9587647418540796,-0.6,-1.7417667865753175,-0.0045,13,71.48607493898312,0.7692307692307693
53,-55.76446085970544,0,54.67380894831149,18.704449449611,-12.000000000000018,-117.11990949045851,-0.02280976716928347,1000,3.7590928790403697,0.7547169811320755
54,-49.95211681528795,0,53.646989914959704,27.499084336587227,-12.90000000000002,-118.18932637027457,-0.008864696560242103,1000,3.676235397200532,0.7407407407407407
55,153.06381233764458,1,3.2313467524945736,2.2266086031833714,0.0,-2.3941430180333554,0.0,23,44.1856713167395,0.7454545454545455
56,134.66029904742277,1,25.112914213794284,19.39103131622953,-6.300000000000004,-53.527135693840705,-0.016510788760354903,442,39.317587041754386,0.75
57,146.39510186312114,1,14.357875654095551,12.481301465396962,-2.849999999999999,-27.591082597803307,-0.002992658568050673,233,38.152610512026314,0.7543859649122807
