Episode,Total_Reward,Success,Conc_Reward,Explore_Reward,Move_Penalty,TKE_Penalty,Boundary_Penalty,Steps,Final_Conc,Current_Radius
1,151.98281675835162,1,6.983482686220668,9.82499398820638,-2.999999999999999,-11.825424629449847,-0.00023528662558412787,99,36.35084415336886,50.0
2,-81.44897058533562,0,54.144639851292595,11.969118591055485,-28.949999999999903,-118.50933205331681,-0.10339697436683001,1000,0.0,50.0
3,-59.860979105382114,0,50.87661483683041,24.68794954641904,-24.599999999999945,-110.78271922790448,-0.042824260727179306,1000,0.0,50.0
4,113.65679170904113,1,37.10593795622117,22.814330992801008,-16.65000000000002,-79.59080844451674,-0.022668795464317926,676,34.324658322863364,50.0
5,-59.94193294353916,0,55.53275439426943,30.704912503793782,-29.3999999999999,-116.74486186240082,-0.034737979201496356,1000,0.0,50.0
6,128.29677503089115,1,22.64843647228554,9.170550267850016,-8.85000000000001,-44.644540773332125,-0.027670935912258856,376,53.976510856060436,50.0
7,-65.79458291309486,0,53.821809762652265,26.581760015683987,-28.19999999999991,-117.94375588488779,-0.054396806543445704,1000,0.0,50.0
8,151.97945684362764,1,13.401434366125613,5.381034326660847,-3.449999999999999,-13.340575707238163,-0.012436141920632152,119,45.266902709696986,50.0
9,113.12032219398867,1,32.064387120983156,17.163187458476536,-18.000000000000007,-68.0563060478307,-0.05094633764029335,602,46.2986667308558,50.0
10,135.89930561971232,1,30.000702137534972,27.687329780264125,-12.000000000000018,-59.78119996129541,-0.0075263367914493225,511,48.01119565989272,50.0
11,-72.4710738661416,0,51.1998401077326,19.900302109996876,-29.999999999999893,-113.50540818446309,-0.06580789940797124,1000,0.0,50.0
12,-71.54101681869379,0,53.19101480208337,19.49471909200026,-26.09999999999993,-118.0657303955408,-0.061020317236875586,1000,0.0,50.0
13,148.99274956826704,1,7.5858251778408885,4.787647436422189,-2.5499999999999994,-10.819328525662423,-0.011394520333624139,107,59.51286552183417,50.0
14,141.05199805513274,1,13.726186710817274,9.544788822719253,-6.150000000000004,-26.052244969457387,-0.016732508946389033,219,51.689117410214465,50.0
15,-57.710776855379365,0,52.83141078846529,31.045732927963773,-25.04999999999994,-116.49420279352927,-0.04371777827923548,1000,0.0,50.0
16,152.97842323205504,1,5.331513228826225,3.2480622712921976,-1.05,-4.550136814359575,-0.0010154537037995993,36,69.84564629928164,50.0
17,126.13648874081346,1,38.49256017617881,21.347530711749226,-13.950000000000022,-69.72039990555496,-0.03320224155963537,566,40.421589072787135,50.0
18,150.88238215606273,1,2.4233541637659073,1.6762942300325874,-0.6,-2.6172662377357474,0.0,23,31.849784915024166,50.0
19,103.74448799911397,1,51.42965714307502,26.517438993292203,-17.400000000000013,-106.74230928181207,-0.06029885544133586,865,44.648876421114906,50.0
20,152.66670405890147,1,5.047313892224338,6.027852598333033,-0.75,-7.657544314302504,-0.0009181173533981069,64,33.58356353545524,50.0
21,108.49649998591894,1,50.573472650605254,26.914999721037244,-19.049999999999997,-99.90030676056618,-0.041665625157275225,876,49.387836936275036,50.0
22,154.02787094723038,1,3.5951037760823965,2.3624792550837217,-0.3,-1.629712083935738,0.0,21,32.192601237801995,50.0
23,-59.37175073737808,0,54.561307032068726,25.89597183220025,-22.94999999999996,-116.82934461333774,-0.0496849883092284,1000,0.0,50.0
24,-56.69415804216948,0,55.63013608155234,23.739722333823266,-19.349999999999994,-116.67407687813974,-0.03993957940533908,1000,0.0,50.0
25,146.2944702358672,1,8.35280273121316,6.702309569423672,-2.849999999999999,-15.909292045421893,-0.0013500193477297734,140,29.371445432738977,50.0
26,-55.559209195446066,0,54.14539216621779,25.79104880185988,-19.79999999999999,-115.64591710716485,-0.049733056358928225,1000,0.0,50.0
27,-60.212604951866915,0,52.63087509793695,22.834785814970125,-20.399999999999984,-115.23116840990276,-0.04709745487144593,1000,0.0,50.0
28,150.14154686745235,1,4.0435054819099605,3.257319816113413,-0.75,-6.40779268220067,-0.0014857483703473871,43,40.12900549794851,50.0
29,150.8114831972895,1,6.029655390768312,7.213257189195508,-1.4999999999999998,-10.929176665749397,-0.0022527169249083813,90,34.930588041891305,50.0
30,131.883429438917,1,30.737420467899938,21.619272015549925,-9.900000000000013,-60.543720250460346,-0.02954279407254617,555,42.99017468529713,50.0
31,-49.13959195808277,0,54.773106492597435,36.0642567537159,-22.649999999999963,-117.2844206863491,-0.042534518047152976,1000,0.0,50.0
32,-50.88711023839744,0,53.435244526321185,30.92035507545427,-17.55000000000001,-117.66920699444604,-0.02350284572693263,1000,0.0,50.0
33,153.87054372990428,1,7.2528737196698785,5.307455759447848,-0.6,-8.088666724786162,-0.0011190244272564936,60,44.45620958358301,50.0
34,153.86093773234168,1,5.631715253926814,4.798978648815294,-0.6,-5.969596203416588,-0.0001599669838228888,47,35.14378237654127,50.0
35,146.98410599157592,1,10.7254993650713,9.848316161082176,-3.149999999999999,-20.434793331567207,-0.004916203010363018,162,60.59718974160945,50.0
36,-53.48033811990045,0,51.079968243910116,26.927918299699936,-18.150000000000006,-113.29441852015447,-0.04380614335611324,1000,0.0,50.0
